verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Senecio × decipiens Herborg;florkart;Senecio × decipiens Herborg;name;Senecio ×decipiens Herborg;7986736;7986736;NA;NA;NA;NA;NA;NA
Senecio sylvaticus × viscosus;florkart;Senecio sylvaticus × viscosus;formula;Senecio sylvaticus × viscosus;9739515;9739515;Senecio sylvaticus;Senecio viscosus;3107987;3107987;3107855;3107855
Silene dioica × latifolia Meusel & K. Werner;florkart;Silene dioica × latifolia Meusel & K. Werner;formula;Silene dioica × latifolia Meusel & K. Werner;NA;NA;Silene dioica;Silene latifolia Meusel & K. Werner;5384795;5384795;5384805;5384805
Solidago canadensis × gigantea;florkart;Solidago canadensis × gigantea;formula;Solidago canadensis × gigantea;9935325;9935325;Solidago canadensis;Solidago gigantea;5389029;5389029;5389017;5389017
Solidago canadensis × virgaurea;florkart;Solidago canadensis × virgaurea;formula;Solidago canadensis × virgaurea;9783313;9783313;Solidago canadensis;Solidago virgaurea;5389029;5389029;6446462;6446462
Sonchus asper × oleraceus;florkart;Sonchus asper × oleraceus;formula;Sonchus asper × oleraceus;10145276;10145276;Sonchus asper;Sonchus oleraceus;3105782;3105782;8228544;8228544
Sparganium angustifolium × emersum;florkart;Sparganium angustifolium × emersum;formula;Sparganium angustifolium × emersum;10278224;10278224;Sparganium angustifolium;Sparganium emersum;2702361;2702361;2702266;2702266
Sparganium emersum × erectum;florkart;Sparganium emersum × erectum;formula;Sparganium emersum × erectum;10045444;10045444;Sparganium emersum;Sparganium erectum;2702266;2702266;7679536;7679536
Spergularia kurkae F. Dvořák;florkart;Spergularia kurkae F. Dvořák;name;Spergularia kurkae F. Dvořák;3812576;3812576;NA;NA;NA;NA;NA;NA
Spergularia marina × media;florkart;Spergularia marina × media;formula;Spergularia marina × media;NA;NA;Spergularia marina;Spergularia media;7736551;7736551;10790895;10790895
Spergularia marina × rubra;florkart;Spergularia marina × rubra;formula;Spergularia marina × rubra;NA;NA;Spergularia marina;Spergularia rubra;7736551;7736551;3085633;3085633
Symphytum officinale × tuberosum;florkart;Symphytum officinale × tuberosum;formula;Symphytum officinale × tuberosum;NA;NA;Symphytum officinale;Symphytum tuberosum;7558421;7558421;2926065;2926065
Thalictrum flavum × simplex;florkart;Thalictrum flavum × simplex;formula;Thalictrum flavum × simplex;9897625;9897625;Thalictrum flavum;Thalictrum simplex;7509607;7509607;7931051;7931051
